numpoints,d0,d2,d3,d4
10,2.38273408272,1.89633830055,1.53874805703,1.34883341165
11,2.4231325122,1.90339993897,1.54135628854,1.35025628428
12,2.46346245184,1.91045607052,1.54396291254,1.3516783957
13,2.50372407566,1.91750670163,1.54656793051,1.3530997465
14,2.54391755709,1.92455183873,1.54917134395,1.3545203373
15,2.58404306897,1.93159148825,1.55177315432,1.35594016871
16,2.62410078359,1.93862565658,1.55437336312,1.35735924134
17,2.66409087261,1.94565435014,1.55697197181,1.3587775558
18,2.70401350715,1.95267757532,1.55956898188,1.36019511268
19,2.74386885773,1.95969533848,1.56216439481,1.36161191261
20,2.78365709431,1.96670764599,1.56475821205,1.36302795618
21,2.82337838626,1.97371450423,1.56735043509,1.364443244
22,2.8630329024,1.98071591954,1.5699410654,1.36585777668
23,2.90262081097,1.98771189825,1.57253010443,1.36727155482
24,2.94214227965,1.9947024467,1.57511755367,1.36868457902
25,2.98159747557,2.00168757121,1.57770341456,1.37009684989
26,3.02098656527,2.00866727808,1.58028768858,1.37150836803
27,3.06030971476,2.01564157363,1.58287037718,1.37291913404
28,3.09956708948,2.02261046413,1.58545148183,1.37432914852
29,3.13875885432,2.02957395587,1.58803100397,1.37573841208
30,3.17788517363,2.03653205512,1.59060894507,1.3771469253
31,3.2169462112,2.04348476814,1.59318530657,1.3785546888
32,3.25594213027,2.05043210119,1.59576008993,1.37996170316
33,3.29487309355,2.0573740605,1.5983332966,1.381367969
34,3.33373926319,2.06431065231,1.60090492803,1.38277348689
35,3.37254080082,2.07124188284,1.60347498566,1.38417825745
36,3.41127786753,2.07816775831,1.60604347093,1.38558228126
37,3.44995062386,2.08508828491,1.60861038529,1.38698555893
38,3.48855922983,2.09200346885,1.61117573018,1.38838809104
39,3.52710384492,2.0989133163,1.61373950704,1.3897898782
40,3.5655846281,2.10581783344,1.6163017173,1.39119092099
41,3.6040017378,2.11271702644,1.61886236241,1.39259122
42,3.64235533193,2.11961090146,1.62142144379,1.39399077583
43,3.68064556786,2.12649946463,1.62397896287,1.39538958908
44,3.71887260248,2.13338272209,1.6265349211,1.39678766032
45,3.75703659213,2.14026067998,1.62908931988,1.39818499016
46,3.79513769264,2.14713334442,1.63164216066,1.39958157918
47,3.83317605933,2.1540007215,1.63419344486,1.40097742796
48,3.87115184702,2.16086281733,1.6367431739,1.40237253711
49,3.90906521001,2.167719638,1.63929134919,1.4037669072
50,3.94691630209,2.17457118958,1.64183797217,1.40516053883
51,3.98470527655,2.18141747816,1.64438304425,1.40655343257
52,4.02243228618,2.1882585098,1.64692656685,1.40794558902
53,4.06009748327,2.19509429053,1.64946854137,1.40933700876
54,4.09770101959,2.20192482642,1.65200896924,1.41072769238
55,4.13524304645,2.20875012349,1.65454785186,1.41211764046
56,4.17272371464,2.21557018776,1.65708519065,1.41350685358
57,4.21014317446,2.22238502526,1.65962098701,1.41489533232
58,4.24750157573,2.22919464198,1.66215524234,1.41628307727
59,4.28479906777,2.23599904393,1.66468795806,1.41767008902
60,4.32203579942,2.2427982371,1.66721913556,1.41905636813
61,4.35921191904,2.24959222745,1.66974877625,1.42044191519
62,4.39632757449,2.25638102097,1.67227688152,1.42182673079
63,4.43338291317,2.26316462361,1.67480345278,1.42321081549
64,4.47037808199,2.26994304133,1.67732849141,1.42459416988
65,4.50731322738,2.27671628006,1.67985199881,1.42597679453
66,4.54418849531,2.28348434574,1.68237397638,1.42735869003
67,4.58100403126,2.29024724429,1.68489442551,1.42873985695
68,4.61775998024,2.29700498163,1.68741334758,1.43012029587
69,4.65445648682,2.30375756367,1.68993074398,1.43150000735
70,4.69109369507,2.31050499629,1.69244661609,1.43287899199
71,4.72767174859,2.3172472854,1.69496096531,1.43425725034
72,4.76419079055,2.32398443687,1.69747379301,1.43563478298
73,4.80065096364,2.33071645656,1.69998510058,1.4370115905
74,4.83705241009,2.33744335034,1.70249488939,1.43838767345
75,4.87339527166,2.34416512407,1.70500316082,1.43976303241
76,4.90967968968,2.35088178358,1.70750991625,1.44113766796
77,4.945905805,2.35759333471,1.71001515704,1.44251158066
78,4.98207375805,2.36429978328,1.71251888458,1.44388477108
79,5.01818368878,2.37100113512,1.71502110024,1.44525723979
80,5.05423573669,2.37769739602,1.71752180537,1.44662898737
81,5.09023004086,2.3843885718,1.72002100136,1.44800001437
82,5.12616673991,2.39107466824,1.72251868956,1.44937032137
83,5.162045972,2.39775569111,1.72501487134,1.45073990894
84,5.19786787488,2.4044316462,1.72750954806,1.45210877763
85,5.23363258584,2.41110253927,1.73000272108,1.45347692803
86,5.26934024174,2.41776837607,1.73249439177,1.45484436068
87,5.30499097899,2.42442916234,1.73498456147,1.45621107616
88,5.34058493358,2.43108490384,1.73747323155,1.45757707503
89,5.37612224106,2.43773560628,1.73996040336,1.45894235785
90,5.41160303656,2.44438127539,1.74244607826,1.46030692519
91,5.44702745477,2.45102191687,1.74493025758,1.46167077761
92,5.48239562995,2.45765753644,1.74741294269,1.46303391567
93,5.51770769594,2.46428813978,1.74989413493,1.46439633993
94,5.55296378616,2.47091373259,1.75237383564,1.46575805095
95,5.5881640336,2.47753432053,1.75485204618,1.4671190493
96,5.62330857082,2.48414990928,1.75732876788,1.46847933552
97,5.65839752998,2.4907605045,1.75980400208,1.46983891019
98,5.69343104281,2.49736611184,1.76227775013,1.47119777385
99,5.72840924064,2.50396673694,1.76475001336,1.47255592707
100,5.76333225436,2.51056238544,1.76722079311,1.47391337041
1000,24.1298801932,6.9411806281,3.51761090441,2.46271786552
300,11.7913950072,3.73674557798,2.23326359835,1.73184915461
301,11.8174104213,3.74244465807,2.23546128113,1.73307446795
302,11.8433904328,3.74813974533,2.23765772053,1.73429917295
303,11.869335114,3.75383084396,2.23985291763,1.73552327006
304,11.8952445369,3.75951795816,2.24204687347,1.73674675973
305,11.9211187733,3.7652010921,2.24423958911,1.73796964243
306,11.9469578948,3.77088024996,2.24643106559,1.7391919186
307,11.9727619728,3.77655543591,2.24862130398,1.74041358869
308,11.9985310787,3.78222665413,2.25081030531,1.74163465315
309,12.0242652834,3.78789390876,2.25299807063,1.74285511243
310,12.0499646578,3.79355720396,2.25518460099,1.74407496699
311,12.0756292726,3.79921654389,2.25736989744,1.74529421727
312,12.1012591983,3.80487193267,2.25955396103,1.74651286371
313,12.126854505,3.81052337445,2.26173679278,1.74773090678
314,12.152415263,3.81617087337,2.26391839375,1.74894834691
315,12.1779415421,3.82181443353,2.26609876498,1.75016518456
316,12.2034334121,3.82745405907,2.2682779075,1.75138142017
317,12.2288909424,3.83308975409,2.27045582235,1.75259705419
