 10,0.1721,0.4470,0.6232,0.6870
 20,0.1249,0.3274,0.4772,0.6034
 30,0.1062,0.2832,0.4064,0.5083
 40,0.1045,0.2568,0.3940,0.5098
 50,0.0818,0.2608,0.3475,0.4670
 60,0.0805,0.2313,0.4204,0.4569
 70,0.0643,0.2113,0.3230,0.4620
 80,0.0631,0.2305,0.3206,0.4551
 90,0.0536,0.1897,0.3212,0.4192
100,0.0595,0.1720,0.3042,0.4112
110,0.0418,0.1924,0.3053,0.4191
120,0.0442,0.1674,0.2853,0.4108
130,0.0419,0.1902,0.2762,0.3988
140,0.0414,0.1519,0.2855,0.3708
150,0.0333,0.1802,0.2690,0.4008
160,0.0327,0.1525,0.2720,0.3877
170,0.0307,0.1630,0.2675,0.3660
180,0.0344,0.1517,0.2563,0.3708
190,0.0321,0.1432,0.2482,0.3705
200,0.0293,0.1336,0.2453,0.3558
210,0.0299,0.1417,0.2569,0.3467
220,0.0304,0.1314,0.2312,0.3467
230,0.0259,0.1461,0.2310,0.3403
240,0.0284,0.1389,0.2368,0.3450
250,0.0227,0.1347,0.2265,0.3427
260,0.0239,0.1173,0.2354,0.3329
270,0.0261,0.1310,0.2261,0.3333
280,0.0214,0.1231,0.2113,0.3257
290,0.0235,0.1188,0.2026,0.3366
300,0.0227,0.1160,0.2076,0.3233
310,0.0196,0.1126,0.2240,0.3221
320,0.0198,0.1006,0.2177,0.3132
330,0.0181,0.1100,0.2116,0.3285
340,0.0199,0.1073,0.1971,0.3137
350,0.0188,0.1056,0.2122,0.3109
360,0.0172,0.1180,0.2082,0.3168
370,0.0189,0.1154,0.2084,0.3080
380,0.0156,0.1119,0.1971,0.2965
390,0.0162,0.1055,0.2131,0.3039
400,0.0175,0.1033,0.1982,0.3061
410,0.0152,0.0986,0.1993,0.2992
420,0.0157,0.1048,0.2128,0.2886
430,0.0147,0.0973,0.1987,0.2997
440,0.0155,0.1125,0.1988,0.2941
450,0.0158,0.1064,0.1953,0.2888
460,0.0141,0.1059,0.1870,0.2931
470,0.0139,0.1054,0.1904,0.3089
480,0.0146,0.0987,0.2002,0.2925
490,0.0146,0.1022,0.2048,0.2886
500,0.0129,0.1014,0.1895,0.3001
510,0.0123,0.0973,0.1869,0.2842
520,0.0137,0.0952,0.1828,0.2961
530,0.0135,0.1008,0.1858,0.2975
540,0.0118,0.0917,0.1780,0.2821
550,0.0119,0.0930,0.1700,0.2705
560,0.0119,0.0903,0.1878,0.2896
570,0.0128,0.0927,0.1883,0.2736
580,0.0112,0.0863,0.1730,0.2734
590,0.0124,0.0953,0.1858,0.2820
600,0.0108,0.0848,0.1796,0.2895
610,0.0112,0.0939,0.1778,0.2957
620,0.0115,0.0901,0.1718,0.2635
630,0.0106,0.0994,0.1742,0.2693
640,0.0101,0.0833,0.1737,0.2661
650,0.0114,0.0843,0.1705,0.2659
660,0.0107,0.0875,0.1701,0.2724
670,0.0111,0.0837,0.1785,0.2705
680,0.0105,0.0903,0.1748,0.2627
690,0.0104,0.0858,0.1650,0.2782
700,0.0110,0.0895,0.1738,0.2709
710,0.0112,0.0850,0.1617,0.2663
720,0.0101,0.0918,0.1649,0.2772
730,0.0100,0.0808,0.1654,0.2667
740,0.0103,0.0840,0.1639,0.2719
750,0.0092,0.0880,0.1612,0.2791
760,0.0093,0.0792,0.1696,0.2576
770,0.0088,0.0838,0.1633,0.2653
780,0.0084,0.0857,0.1600,0.2668
790,0.0101,0.0748,0.1718,0.2589
800,0.0085,0.0812,0.1584,0.2627
810,0.0088,0.0801,0.1720,0.2495
820,0.0091,0.0831,0.1668,0.2489
830,0.0091,0.0838,0.1715,0.2732
840,0.0090,0.0822,0.1672,0.2560
850,0.0092,0.0823,0.1585,0.2618
860,0.0101,0.0789,0.1588,0.2661
870,0.0083,0.0772,0.1622,0.2646
880,0.0088,0.0749,0.1622,0.2615
890,0.0074,0.0763,0.1617,0.2423
900,0.0081,0.0747,0.1613,0.2565
910,0.0088,0.0784,0.1476,0.2440
920,0.0082,0.0721,0.1539,0.2473
930,0.0081,0.0772,0.1571,0.2506
940,0.0080,0.0745,0.1532,0.2473
950,0.0083,0.0773,0.1487,0.2434
960,0.0076,0.0710,0.1508,0.2584
970,0.0071,0.0717,0.1588,0.2470
980,0.0073,0.0710,0.1568,0.2447
990,0.0072,0.0761,0.1520,0.2479
1000,0.0071,0.0766,0.1481,0.2489
1000,0.0079,0.0729,0.1431,0.2389
1100,0.0062,0.0729,0.1564,0.2400
1200,0.0063,0.0620,0.1469,0.2515
1300,0.0068,0.0712,0.1501,0.2240
1400,0.0054,0.0630,0.1296,0.2365
1500,0.0052,0.0553,0.1386,0.2296
1600,0.0043,0.0536,0.1301,0.2246
1700,0.0045,0.0546,0.1300,0.2086
1800,0.0046,0.0552,0.1226,0.2087
1900,0.0051,0.0542,0.1281,0.2108
2000,0.0040,0.0509,0.1246,0.2105
2000,0.0037,0.0533,0.1191,0.2132
3000,0.0030,0.0395,0.1157,0.1977
4000,0.0021,0.0397,0.0989,0.1783
5000,0.0019,0.0356,0.0915,0.1602
6000,0.0017,0.0331,0.0926,0.1627
7000,0.0014,0.0309,0.0871,0.1503
8000,0.0011,0.0278,0.0833,0.1474
9000,0.0010,0.0259,0.0761,0.1514
10000,0.0010,0.0249,0.0763,0.1417
