0,1208041,1208041,1208041
1,1208041,1208041,1208041
2,415443,415443,415443
3,415443,1430067,1430067
4,415443,2523009,2523009
5,415443,4180589,4180589
6,415443,38041849,38041849
7,415443,38041849,38041849
8,415443,797849,797849
9,415443,14159847,14159847
10,415443,11757847,11757847
11,306891,306891,306891
12,306891,1442697,1442697
13,306891,9950185,9950185
14,306891,2938235,2938235
15,306891,17867997,17867997
16,306891,43259877,43259877
17,306891,1650707,1650707
18,306891,3209353,3209353
19,306891,398091,398091
20,306891,13055299,13055299
21,306891,16937973,16937973
22,306891,9594923,9594923
23,306891,2298901,2298901
24,306891,2298901,2298901
25,306891,10463551,10463551
26,306891,5639313,5639313
27,306891,5639313,5639313
28,306891,1293253,1293253
29,289051,289051,289051
30,289051,19382149,19382149
31,289051,19382149,19382149
32,289051,19382149,19382149
33,289051,9914833,9914833
34,289051,2224869,2224869
35,289051,19684839,19684839
36,289051,2062809,2062809
37,289051,2062809,2062809
38,289051,19118863,19118863
39,289051,4439255,4439255
40,289051,2132867,2132867
41,289051,15795699,15795699
42,289051,799557,799557
43,289051,553087,553087
44,289051,31492607,31492607
45,289051,32001921,32001921
46,289051,32001921,32001921
47,289051,291237,291237
48,289051,6388963,6388963
49,289051,20952915,20952915
50,289051,3647331,3647331
51,289051,4675843,4675843
52,289051,1411323,1411323
53,289051,1411323,1411323
54,289051,17125145,17125145
55,289051,2994225,2994225
56,289051,2994225,2994225
57,289051,8127039,8127039
58,289051,2872891,2872891
59,26891,26891,26891
60,26891,1382595,1382595
61,26891,6705709,6705709
62,26891,11761467,11761467
63,26891,2037531,2037531
64,26891,7211031,7211031
65,26891,2561163,2561163
66,26891,4032709,4032709
67,26891,5695505,5695505
68,26891,245325,245325
69,26891,640027,640027
70,26891,2427999,2427999
71,26891,3296305,3296305
72,26891,1254581,1254581
73,26891,514583,514583
74,26891,514583,514583
75,26891,1960577,1960577
76,26891,421947,421947
77,26891,228131,228131
78,26891,228131,228131
79,26891,14853333,14853333
80,26891,3513469,3513469
81,26891,13942705,13942705
82,26891,13942705,13942705
83,26891,2360741,2360741
84,26891,5214609,5214609
85,26891,1354955,1354955
86,26891,226561,226561
87,26891,3496131,3496131
88,26891,712795,712795
89,26891,2481623,2481623
90,26891,2533253,2533253
91,26891,51847,51847
92,26891,1221141,1221141
93,26891,3843481,3843481
94,26891,18386163,18386163
95,26891,1213699,1213699
96,26891,3395581,3395581
97,26891,4150563,4150563
98,26891,2199005,2199005
99,26891,2199005,2199005
100,26891,584307,584307
101,26891,767093,767093
102,26891,6184897,6184897
103,26891,4161045,4161045
104,26891,449563,449563
105,26891,571715,571715
106,26891,595373,595373
107,26891,2853475,2853475
108,26891,2853475,2853475
109,26891,417975,417975
110,26891,5181933,5181933
111,26891,2525513,2525513
112,26891,2525513,2525513
113,26891,1228383,1228383
114,26891,4339827,4339827
115,26891,13056863,13056863
116,26891,14223309,14223309
117,26891,1422827,1422827
118,26891,5300019,5300019
119,26891,47775,47775
120,26891,6319031,6319031
121,26891,5782303,5782303
122,26891,1529027,1529027
123,26891,2898441,2898441
124,26891,17662553,17662553
125,26891,2543679,2543679
126,26891,61929361,61929361
127,26891,61929361,61929361
128,26891,4514993,4514993
129,26891,7252523,7252523
130,26891,240255,240255
131,26891,2472323,2472323
132,26891,111951569,111951569
133,26891,16775287,16775287
134,26891,1462093,1462093
135,26891,1160223,1160223
136,26891,6639567,6639567
137,26891,445765,445765
138,26891,13514857,13514857
139,26891,25337323,25337323
140,26891,25337323,25337323
141,26891,1337941,1337941
142,26891,4313161,4313161
143,26891,1099755,1099755
144,26891,4085577,4085577
