34971,10822420390057,40702703,155374873,233,95986951,413,376477989,89
10730,291879606832,4625566,228472382,136,320260752,14,167217288,304
167053,6673258379789,52648453,329663447,393,328624371,247,273723935,99
259754,1376845732664,473944,313216286,22,36386704,148,158056782,180
121504,7061089758030,1887368,772136136,468,317551920,618,105527580,150
51452,10343992443280,963940,221317106,270,36503542,1914,165552008,2
107573,4614462059233,808739,85131791,101,464012333,129,772537577,397
87981,1422808104157,67005061,25221665,63,501411629,83,530321089,235
13894,1356376628822,3324460,661091942,172,76203024,1710,35073816,146
92083,479177735597,2792567,921907615,41,77876597,723,193633973,371
138088,1249545622572,1941212,175909216,344,70245614,312,246420936,138
410883,243414920825,4646317,105658165,863,239796979,369,108474771,77
37706,11430392587090,38630924,39246218,144,120113616,6,446125528,474
4959,4067787093499,18963889,24759389,77,542265111,75,233971069,45
98982,2175280376182,2188950,100821554,940,1236938264,476,688213982,148
463510,1739069504278,175152,139869568,12,75036270,158,11502710,8
1644891,3495083184471,2537213,49560039,409,13720169,63,61430319,711
139281,351765857829,1802037,53398387,237,988468769,1005,81428829,381
394078,5755470980672,745400,21353048,186,157391418,630,5971440,36
107320,3895930206648,3992690,128708358,4,725491620,202,136598406,172
50804,12983588988310,1200558,451818596,4,99627184,2356,118751320,150
324855,5748524737771,1161801,325012143,75,223400605,105,452940573,699
135242,1728004920992,16588,704083100,164,676644810,754,332982194,276
145423,5441272197069,87319175,225423987,65,6201619,2927,99470517,367
123015,663595478753,1417147,528417633,73,1039183345,369,344036915,45
176602,6613491011748,18407516,294308518,294,273748166,1558,688118388,296
36304,1856766152536,26822008,161220750,1110,455837768,136,83764346,164
301760,1899256763434,1106016,113678664,202,585810298,204,243536474,0
63108,3427430057958,36730,344589548,146,950945980,0,256413500,794
360853,4036657978237,12418945,42220127,221,703414819,65,19806529,73
218412,900346511810,637880,232196292,164,661249482,608,60944820,14
3588550,2595831900490,4786194,1050246780,10,263865886,988,11475264,164
149598,1305294397646,2614908,187019180,308,111840076,14,240987176,8
407557,3926707064809,4436253,245517357,71,2022865,1959,56030691,1019
29832,1191540834240,7770892,19895442,14,174864454,4116,443830502,16
42600,3153800750690,557082,293365844,14,355409068,158,681390488,8
1601343,8202506007583,4506947,298681,103,200669301,221,185308965,373
23445,4971984587883,9394505,263411841,67,439607639,1169,308089921,247
233750,10790631655718,317398,390750690,478,223805766,162,125872988,12
49007,4536364976903,10757717,32133863,237,648138619,735,239303795,559
23680,6828193130916,32686,104996518,12,39072626,132,200186108,162
123578,4765629557230,13887404,156272448,188,54308150,1306,57226240,158
194223,1790585216809,13997805,183999215,221,880380253,693,335239229,71
793230,3283815385864,84776,331839424,804,329715906,930,297449466,40
158231,7046013476531,84831,1036374145,255,30290799,209,135609771,85
10258,8099798512072,678944,24022596,340,382573088,484,103978728,164
188740,564919194606,379688,140730138,16,281475530,2050,683221196,10
537599,7457286511807,206375,23262437,867,306643805,43,346288531,49
83636,375693290518,1832138,26821568,168,802226178,1704,359693724,16
39541,7750497829419,2787979,156552837,223,35869811,105,95481615,399
