5,67.6
10,35
15,24.6
20,24.8
25,21.2
30,21.4
35,21.2
40,21.6
45,21.2
50,22.6
55,22.4
60,22.2
65,22.2
70,22.2
75,22.6
80,22
85,22.4
90,22.6
95,22.4
100,24.6
105,24.6
110,24.6
115,24.4
120,24.4
125,24.4
130,24.4
135,24.6
140,24.6
145,24.2
150,24.4
155,24.6
160,24.4
165,24.6
170,24.4
175,24.6
180,24.2
185,24.2
190,24.4
195,24.6
200,28
205,27.6
210,28.2
215,27.6
220,27.8
225,27.4
230,27.8
235,27.8
240,28
245,27.8
250,27.2
255,27.8
260,27.4
265,27.8
270,27.6
275,28
280,28.2
285,28.2
290,27.8
295,28.6
300,27.8
305,27.4
310,27.8
315,27.8
320,27.6
325,28
330,28
335,27.8
340,27.8
345,27.8
350,27.8
355,28
360,27.8
365,28
370,28
375,27.4
380,27.6
385,27.6
390,28.4
395,28.6
